"ID","ACTIVE","YEAR","COUNTRY_ESP","COUNTRY_ENG","SECTOR_ESP","SECTOR_ENG","STATUS_ESP","STATUS_ENG","COUNTRY","SECTOR","STATUS"
1,"YES",2017,"Venezuela","Venezuela","Pagos y remesas","Payments & Remittances","Crecimiento y expansión","Growth & expansion",18,7,6
2,"YES",2017,"Argentina","Argentina","Seguros","Insurance","Crecimiento y expansión","Growth & expansion",1,10,6
3,"YES",2017,"Chile","Chile","Puntaje crediticio, identidad y fraude","Scoring, Identity & Fraud","Crecimiento y expansión","Growth & expansion",4,9,6
4,"YES",2017,"Chile","Chile","Préstamos","Lending","Crecimiento y expansión","Growth & expansion",4,8,6
5,"YES",2017,"Colombia","Colombia","Pagos y remesas","Payments & Remittances","Crecimiento y expansión","Growth & expansion",5,7,6
6,"YES",2017,"Brasil","Brazil","Pagos y remesas","Payments & Remittances","Crecimiento y expansión","Growth & expansion",3,7,6
7,"YES",2017,"Colombia","Colombia","Gestión de finanzas personales","Personal Financial Management","Lanzado","Launched",5,4,4
8,"YES",2017,"Uruguay","Uruguay","Gestión de finanzas personales","Personal Financial Management","Listos para escalar","Ready to scale",17,4,5
9,"YES",2017,"México","Mexico","Préstamos","Lending","Lanzado","Launched",11,8,4
10,"YES",2017,"Brasil","Brazil","Pagos y remesas","Payments & Remittances","Listos para escalar","Ready to scale",3,7,5
11,"YES",2017,"Brasil","Brazil","Pagos y remesas","Payments & Remittances","Crecimiento y expansión","Growth & expansion",3,7,6
12,"YES",2017,"Ecuador","Ecuador","Financiamiento colectivo","Crowdfunding","Versión beta","Beta version",7,2,3
13,"YES",2017,"Brasil","Brazil","Gestión de finanzas personales","Personal Financial Management","Crecimiento y expansión","Growth & expansion",3,4,6
14,"YES",2017,"Brasil","Brazil","Pagos y remesas","Payments & Remittances","Crecimiento y expansión","Growth & expansion",3,7,6
15,"YES",2017,"México","Mexico","Tecnología empresarial para instituciones financieras","Enterprise Technologies for Financial Institutions","Versión beta","Beta version",11,11,3
16,"YES",2017,"Argentina","Argentina","Seguros","Insurance","Versión beta","Beta version",1,10,3
17,"YES",2017,"México","Mexico","Préstamos","Lending","Lanzado","Launched",11,8,4
18,"YES",2017,"Panamá","Panama","Préstamos","Lending","Crecimiento y expansión","Growth & expansion",13,8,6
